ISBN,Book_Title,Book_Author,Image_URL_L,Book_Rating,Total_Votes,Avg_rating,Price
0399135782,The Kitchen God's Wife,Amy Tan,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,9.0,109,1.8,$89.99
0440234743,The Testament,John Grisham,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,0.0,172,1.9,$89.99
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,0.0,51,2.3,$49.99
0971880107,Wild Animus,Rich Shapero,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,0.0,330,0.4,$79.99
0345402871,Airframe,Michael Crichton,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,0.0,102,1.7,$49.99
0345417623,Timeline,MICHAEL CRICHTON,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,0.0,144,2.0,$79.99
0446310786,To Kill a Mockingbird,Harper Lee,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,0.0,181,3.7,$49.99
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,9.0,68,2.7,$49.99
0060168013,Pigs in Heaven,Barbara Kingsolver,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,0.0,92,1.8,$69.99
055321215X,Pride and Prejudice,Jane Austen,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,0.0,62,2.6,$69.99
0553582909,Icebound,Dean R. Koontz,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,9.0,60,1.8,$89.99
0671888587,I'll Be Seeing You,Mary Higgins Clark,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,9.0,75,1.6,$89.99
0553582747,From the Corner of His Eye,Dean Koontz,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,8.0,69,2.1,$89.99
0425182908,Isle of Dogs,Patricia Cornwell,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,4.0,95,1.2,$69.99
042518630X,Purity in Death,J.D. Robb,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,7.0,61,2.2,$89.99
0440225701,The Street Lawyer,JOHN GRISHAM,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,0.0,175,1.8,$79.99
042511774X,Breathing Lessons,Anne Tyler,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,0.0,104,1.5,$69.99
0804106304,The Joy Luck Club,Amy Tan,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,0.0,177,1.9,$89.99
0140067477,The Tao of Pooh,Benjamin Hoff,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,0.0,73,2.9,$59.99
0345465083,Seabiscuit,LAURA HILLENBRAND,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,0.0,63,1.9,$69.99
0316769487,The Catcher in the Rye,J.D. Salinger,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg,0.0,95,3.0,$79.99
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg,0.0,85,2.3,$49.99
0671867156,Pretend You Don't See Her,Mary Higgins Clark,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg,0.0,104,1.2,$79.99
0312252617,Fast Women,Jennifer Crusie,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg,0.0,88,1.6,$59.99
0451166892,The Pillars of the Earth,Ken Follett,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg,0.0,82,1.8,$59.99
0786868716,The Five People You Meet in Heaven,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg,0.0,110,3.5,$69.99
0446608653,The Alibi,Sandra Brown,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg,0.0,63,1.1,$69.99
0446612545,The Beach House,James Patterson,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg,0.0,140,1.6,$69.99
0671027360,Angels &amp; Demons,Dan Brown,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg,0.0,189,2.3,$49.99
0671042858,The Girl Who Loved Tom Gordon,Stephen King,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg,10.0,68,2.4,$69.99
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg,0.0,141,1.9,$89.99
0671004573,Before I Say Good-Bye,Mary Higgins Clark,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg,10.0,76,1.1,$79.99
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg,0.0,108,1.0,$49.99
038572179X,Atonement : A Novel,IAN MCEWAN,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg,0.0,64,1.7,$79.99
0380778556,Rebecca,Daphne Du Maurier,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg,9.0,67,3.1,$69.99
0505524996,Contact,Susan Grant,http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg,0.0,67,1.4,$59.99
0446527165,Wish You Well,David Baldacci,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg,9.0,83,1.7,$59.99
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg,0.0,80,3.1,$49.99
0330332775,Bridget Jones's Diary,Helen Fielding,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg,0.0,263,2.6,$79.99
3257208626,Fahrenheit 451,Ray Bradbury,http://images.amazon.com/images/P/3257208626.01.LZZZZZZZ.jpg,0.0,114,3.1,$79.99
0060977493,The God of Small Things,Arundhati Roy,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg,0.0,82,1.8,$59.99
0316693006,Four Blind Mice,James Patterson,http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg,0.0,81,2.3,$79.99
0345378490,Congo,Michael Crichton,http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg,0.0,117,1.6,$89.99
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg,0.0,60,2.2,$69.99
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg,0.0,68,1.9,$79.99
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg,0.0,83,2.1,$49.99
0385497466,The Brethren,JOHN GRISHAM,http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg,0.0,168,1.9,$89.99
0385508042,The King of Torts,John Grisham,http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg,0.0,114,1.4,$79.99
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg,0.0,91,1.6,$59.99
0446610399,The Rescue,Nicholas Sparks,http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg,0.0,98,1.8,$79.99
0451162072,Pet Sematary,Stephen King,http://images.amazon.com/images/P/0451162072.01.LZZZZZZZ.jpg,0.0,115,2.8,$89.99
0452282152,Girl with a Pearl Earring,Tracy Chevalier,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg,0.0,130,2.6,$79.99
0671027387,Deception Point,Dan Brown,http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg,10.0,68,1.4,$59.99
0684848783,Tis : A Memoir,Frank McCourt,http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg,0.0,51,2.0,$59.99
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg,0.0,73,2.4,$59.99
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg,0.0,115,2.5,$59.99
0151008116,Life of Pi,Yann Martel,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg,0.0,175,2.4,$89.99
0804111359,Secret History,DONNA TARTT,http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg,2.0,66,1.4,$69.99
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg,0.0,68,2.7,$89.99
037582345X,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,http://images.amazon.com/images/P/037582345X.01.LZZZZZZZ.jpg,9.0,129,2.2,$69.99
0375823468,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,http://images.amazon.com/images/P/0375823468.01.LZZZZZZZ.jpg,9.0,76,2.8,$89.99
0451526341,Animal Farm,George Orwell,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg,8.0,67,2.9,$49.99
0374270325,A Man in Full,Tom Wolfe,http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg,0.0,63,1.2,$69.99
044023722X,A Painted House,John Grisham,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg,0.0,222,2.0,$89.99
0060977477,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,http://images.amazon.com/images/P/0060977477.01.LZZZZZZZ.jpg,8.0,157,1.4,$79.99
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg,9.0,103,1.3,$59.99
0425120279,The Hunt for Red October,Tom Clancy,http://images.amazon.com/images/P/0425120279.01.LZZZZZZZ.jpg,0.0,99,1.1,$79.99
0142001740,The Secret Life of Bees,Sue Monk Kidd,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg,0.0,204,2.8,$59.99
